,RaceID,Season,Round,RaceName,CircuitID,DateTime,URL
0,202201,2022,1,Bahrain Grand Prix,bahrain,2022-03-20 15:00:00+00:00,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix
1,202202,2022,2,Saudi Arabian Grand Prix,jeddah,2022-03-27 17:00:00+00:00,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix
2,202203,2022,3,Australian Grand Prix,albert_park,2022-04-10 05:00:00+00:00,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix
3,202204,2022,4,Emilia Romagna Grand Prix,imola,2022-04-24 13:00:00+00:00,http://en.wikipedia.org/wiki/2022_Emilia_Romagna_Grand_Prix
4,202205,2022,5,Miami Grand Prix,miami,2022-05-08 19:30:00+00:00,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix
5,202206,2022,6,Spanish Grand Prix,catalunya,2022-05-22 13:00:00+00:00,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix
6,202207,2022,7,Monaco Grand Prix,monaco,2022-05-29 13:00:00+00:00,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix
7,202208,2022,8,Azerbaijan Grand Prix,baku,2022-06-12 11:00:00+00:00,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix
8,202209,2022,9,Canadian Grand Prix,villeneuve,2022-06-19 18:00:00+00:00,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix
